Identificador,Provincia,Municipio,Zona,Tipo,Precio,Dimensión,Habitaciones,Lavabos,Planta,Ascensor,Parking,Estado,Calefacción,Agua caliente,Antigüedad,Orientación,Amueblado,Consumo,Emisiones,Vendedor,Imagen
156010798,huesca, Zaidín, Zaidín,Casa o chalet,25000 ,156 ,3 ,,,,,,,,,,,G,G,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
153823547,huesca, Panticosa, Panticosa,Piso,240000 ,100 ,3 ,2 ,,,Privado,,,,,,,G,G,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
153912079,huesca, Sabiñánigo, Las Margas Golf - Latas,Piso,84700 ,127 ,2 ,2 ,,,Privado,,,,,,,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
160128174,huesca, Benasque, Benasque,Piso,164500 ,109 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
160128606,huesca, Benasque, Benasque,Piso,139745 ,93 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
154273422,huesca, Alcubierre, Alcubierre,Casa o chalet,36000 ,150 ,2 ,2 ,,SI,Privado,,,,,,Sí,E,E,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
161023307,huesca,Tamarite de Litera,Tamarite De Litera,Piso,120000 ,90 ,3 ,2 ,,SI,Privado,,,,,Norte,Sí,G,G,DON PISO SERVICIOS INMOBILIARIOS,SI
160186721,huesca,Jaca,Jaca - Poblaciones sur,Casa o chalet,210000 ,99 ,3 ,2 ,,SI,Privado,,Electricidad,Electricidad,,Norte,Sí,G,G,INMOBILIARIA VALLES DEL PIRINEO,SI
160886758,huesca, Aínsa-sobrarbe, Aínsa-sobrarbe,Piso,75000 ,69 ,2 ,2 ,,SI,Privado,Bien,Electricidad,Electricidad,70 a 100 años,Este,Sí,E,E,Ninmo Brarbe,SI
159045970,huesca, Torla, Torla,Casa o chalet,155000 ,88 ,3 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,Inversiones Venezia,SI
158689184,huesca, Jaca, Universidad,Piso,320000 ,109 ,4 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,PRIONSA,SI
153208155,huesca,Jaca,Jaca,Piso,77900 ,94 ,3 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
160653058,huesca, Benasque, Benasque,Piso,132000 ,91 ,3 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,BIDX1 ESPAÑA,SI
157727994,huesca, Canal de Berdún, Canal de Berdún,Casa o chalet,68400 ,70 ,2 ,2 ,,SI,Comunitario,Casi nuevo,Gas Natural,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
138591424,huesca,Barbastro,Barbastro,Piso,56000 ,77 ,2 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
153475977,huesca, Graus, Graus,Casa o chalet,75000 ,750 ,5 ,2 ,,SI,Comunitario,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Noreste,Sí,G,G,INNOVA-LM,SI
158404003,huesca,Sabiñánigo,Las Margas Golf - Latas,Piso,110000 ,80 ,2 ,2 ,,SI,Privado,Muy bien,Electricidad,Electricidad,10 a 20 años,Sur,Sí,G,G,Housell,SI
161667992,huesca, Sallent de Gállego, Sallent de Gállego,Apartamento,250000 ,60 ,2 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,Housell,SI
157035957,huesca,Sabiñánigo,Sardas - Puente de Sabiñánigo,Piso,93500 ,67 ,2 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,OUTLETDEVIVIENDAS,SI
157123922,huesca, Torrente de Cinca, Torrente de Cinca,Casa o chalet,65000 ,298 ,5 ,3 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,ALTAMIRA SANTANDER,SI
160233003,huesca, Fraga, Fraga,Piso,35000 ,109 ,4 ,3 ,,SI,Privado,Casi nuevo,Electricidad,Electricidad,Menos de 1 año,Este,Sí,G,G,ALTAMIRA SANTANDER,SI
161732296,huesca, Huesca Capital, Casco Antiguo,Piso,310000 ,142 ,4 ,3 ,,SI,Privado,Casi nuevo,Gasóleo,Gasóleo,30 a 50 años,Oeste,Sí,G,G,INMOR,SI
161731205,huesca, Huesca Capital, Perpetuo Socorro,Piso,99000 ,122 ,4 ,3 ,,SI,Privado,Bien,Gas Natural,Gas Natural,30 a 50 años,Sur,Sí,G,G,FINCAS VICAM,SI
161579052,huesca, La Sotonera, La Sotonera,Finca rústica,1500000 ,10645591 ,4 ,3 ,,SI,Privado,Bien,Gas Natural,Gas Natural,+ 100 años,Sur,Sí,G,G,GTI ZARAGOZA,SI
158573480,huesca, Villanúa, Villanúa,Apartamento,58500 ,30 ,4 ,3 ,,SI,Privado,Bien,Electricidad,Gas Natural,+ 100 años,Sur,Sí,G,G,INNOVA-LM,SI
161729446,huesca, Nueno, Nueno,Casa o chalet,310000 ,255 ,5 ,2 ,,SI,Privado,Bien,Electricidad,Gas Natural,20 a 30 años,Sur,Sí,G,G,Plenia Inmobiliarios,SI
161729445,huesca, Sariñena, Sariñena,Casa o chalet,114000 ,154 ,4 ,2 ,,,,,,,70 a 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161729438,huesca, Huesca Capital,Casco Antiguo,Piso,100000 ,55 ,2 ,2 ,,SI,Comunitario,,,,70 a 100 años,,Sí,G,G,FINCAS ALCORAZ,SI
158212739,huesca, Alquézar, Alquézar,Apartamento,107000 ,68 ,2 ,2 ,,SI,Comunitario,Bien,,,70 a 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161495037,huesca,Aínsa-sobrarbe,Aínsa-sobrarbe,Finca rústica,675000 ,330 ,2 ,2 ,,SI,Comunitario,Bien,,,70 a 100 años,,Sí,G,G,CROPS CAPITAL,SI
139457572,huesca,Graus,Torres del Obispo,Casa o chalet,188000 ,242 ,2 ,2 ,,SI,Privado,Casi nuevo,,,70 a 100 años,,Sí,G,G,INNOVA-LM,SI
161495200,huesca, Gurrea de Gállego, Gurrea de Gállego,Casa o chalet,73000 ,95 ,3 ,2 ,,SI,Privado,Casi nuevo,Gasóleo,,70 a 100 años,,Sí,G,G,FINCAS VERUS,SI
158815635,huesca, Grañén, Grañén,Finca rústica,11000 ,87 ,4 ,2 ,,SI,Privado,A reformar,Gasóleo,,+ 100 años,,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
158356282,huesca, Jaca, Centro - Llano Samper,Piso,141900 ,101 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,30 a 50 años,,Sí,E,G,Portal Now,SI
158356409,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,10 a 20 años,,Sí,D,G,Portal Now,SI
158356405,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,10 a 20 años,,Sí,E,G,Portal Now,SI
161724744,huesca, Huesca Capital, Perpetuo Socorro,Piso,58000 ,60 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,50 a 70 años,,Sí,G,G,TECNOCASA,SI
161724698,huesca,Grañén,Grañén,Casa o chalet,38000 ,85 ,3 ,2 ,,SI,Privado,A reformar,Gasóleo,,50 a 70 años,,Sí,G,G,FINCAS VERUS,SI
161724444,huesca,Castejón de Sos, España,Casa o chalet,380000 ,212 ,6 ,2 ,,SI,Privado,A reformar,Gasóleo,,50 a 70 años,,Sí,G,G,FINCAS ANETO,SI
156366443,huesca, Graus, Graus,Piso,64800 ,68 ,3 ,2 ,,SI,Privado,Muy bien,Gasóleo,,50 a 70 años,,Sí,G,G,INNOVA-LM,SI
161720841,huesca, Binéfar, Binéfar,Piso,155000 ,115 ,3 ,2 ,,SI,Comunitario,Casi nuevo,Gasóleo,,50 a 70 años,Este,Sí,G,G,Particular: Jesus,SI
160497043,huesca,Canal de Berdún,Jaca,Casa o chalet,500000 ,237 ,5 ,4 ,,SI,Privado,Casi nuevo,Gasóleo,,10 a 20 años,Este,Sí,G,G,DON PISO JACA,SI
160474145,huesca,Canal de Berdún,Canal De Berdún,Casa o chalet,99680 ,577 ,5 ,4 ,,SI,Privado,Casi nuevo,Gasóleo,,10 a 20 años,Este,Sí,G,G,DON PISO JACA,SI
160474175,huesca,Jaca,Jaca,Estudio,90680 ,35 ,5 ,4 ,,SI,Privado,Casi nuevo,Gasóleo,,30 a 50 años,Este,Sí,E,G,DON PISO JACA,SI
160885956,huesca, Laspuña, Laspuña,Piso,99000 ,65 ,2 ,4 ,,SI,Comunitario,Casi nuevo,Gasóleo,,30 a 50 años,Este,Sí,D,D,Ninmo Brarbe,SI
160474144,huesca,Villanúa,Villanúa,Piso,118119 ,53 ,2 ,4 ,,SI,Comunitario,Casi nuevo,Gasóleo,,30 a 50 años,Este,Sí,G,G,DON PISO JACA,SI
161169277,huesca,Jaca,Jaca,Piso,124000 ,63 ,2 ,4 ,,SI,Comunitario,Casi nuevo,Gasóleo,,10 a 20 años,Este,Sí,G,G,DON PISO JACA,SI
160497009,huesca,Jaca,Jaca,Piso,482670 ,230 ,5 ,3 ,,SI,Comunitario,Casi nuevo,Gasóleo,,20 a 30 años,Este,Sí,G,G,DON PISO JACA,SI
160021599,huesca,Tardienta,Tardienta,Casa adosada,185000 ,230 ,4 ,2 ,,SI,Privado,Casi nuevo,Gasóleo,Gasóleo,5 a 10 años,Oeste,Sí,G,G,FINCAS VICAM,SI
159717782,huesca,Sabiñánigo,Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,4 ,2 ,,SI,Privado,Casi nuevo,Gasóleo,Gasóleo,5 a 10 años,Oeste,Sí,G,G,OUTLETDEVIVIENDAS,SI
154834282,huesca, Monzón, Monzón,Piso,169000 ,160 ,4 ,2 ,,SI,Privado,Casi nuevo,Gasóleo,Gasóleo,10 a 20 años,Oeste,No,G,G,FINQUES PRATS,SI
161670762,huesca, Binéfar, Binéfar,Piso,75000 ,137 ,4 ,2 ,,SI,Privado,A reformar,Gas Natural,Gasóleo,10 a 20 años,Sureste,No,G,G,ALTABAS GESTION INMOBILIARIA,SI
161669682,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,67000 ,91 ,2 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gasóleo,20 a 30 años,Suroeste,Sí,F,D,Particular: Marisa,SI
157123609,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,52000 ,78 ,3 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gasóleo,20 a 30 años,Suroeste,Sí,G,G,ALTAMIRA SANTANDER,SI
157476209,huesca, Barbastro, Barbastro,Piso,69000 ,85 ,3 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gasóleo,20 a 30 años,Suroeste,Sí,G,G,ALTAMIRA,SI
156862186,huesca, Olvena, Olvena,Casa o chalet,85000 ,156 ,3 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gasóleo,20 a 30 años,Suroeste,Sí,G,G,INNOVA-LM,SI
156399605,huesca,Monzón, España,Casa o chalet,395000 ,517 ,5 ,3 ,,,Comunitario,,,,10 a 20 años,,,G,G,SAFTI ESPAÑA,SI
158858711,huesca, Monzón, Monzón,Piso,80000 ,95 ,3 ,3 ,,,Comunitario,,,,30 a 50 años,,,G,G,DEPLACE,SI
159285251,huesca, Grañén, Grañén,Casa o chalet,70000 ,357 ,4 ,3 ,,,Comunitario,A reformar,,,70 a 100 años,,,G,G,FINCAS RUIZ ZARAGOZA,SI
159717851,huesca,Jaca,Centro - Llano Samper,Piso,141900 ,101 ,3 ,2 ,,,Comunitario,A reformar,,,70 a 100 años,,,G,G,OUTLETDEVIVIENDAS,SI
160170203,huesca,Villanúa,Villanúa,Apartamento,58000 ,35 ,3 ,2 ,,,Comunitario,Muy bien,Electricidad,Electricidad,70 a 100 años,Sur,Sí,G,G,INMOBILIARIA VALLES DEL PIRINEO,SI
161125185,huesca, Jaca, Poblaciones norte,Dúplex,260000 ,220 ,4 ,3 ,,,Privado,Muy bien,Electricidad,Electricidad,10 a 20 años,Sur,Sí,D,D,JACETANIA 2000,SI
161446344,huesca, Sariñena, Sariñena,Casa o chalet,26900 ,76 ,3 ,3 ,,,Privado,A reformar,Electricidad,Electricidad,50 a 70 años,Sur,No,G,G,FINCAS RUIZ ZARAGOZA,SI
161717565,huesca, Jaca, Poblaciones norte,Apartamento,175000 ,104 ,2 ,2 ,,,Privado,Casi nuevo,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,D,D,JACETANIA 2000,SI
161715372,huesca, Binaced, Binaced,Casa adosada,120000 ,286  terreno,3 ,2 ,,,Privado,Reformado,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,B,B,Particular: lola Rua,SI
161715435,huesca, Ayerbe, Ayerbe,Casa o chalet,129500 ,270 ,4 ,2 ,,,Privado,A reformar,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,ESPATIUM,SI
156260422,huesca, Graus, Graus,Piso,124500 ,90 ,3 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,INNOVA-LM,SI
151935439,huesca,Capella,Capella,Casa o chalet,80000 ,300 ,5 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,INNOVA-LM,SI
156417411,huesca,Monzón, España,Finca rústica,99900 ,292 ,5 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,Exento,Exento,SAFTI ESPAÑA,SI
151530945,huesca,Secastilla,Secastilla,Casa o chalet,139500 ,165 ,4 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,INNOVA-LM,SI
161711120,huesca, Alcalá de Gurrea, Alcalá de Gurrea,Finca rústica,106400 ,720 ,4 ,2 ,,SI,Privado,A reformar,Gas Natural,Gas Natural,70 a 100 años,Suroeste,Sí,Exento,Exento,ESPATIUM,SI
158175185,huesca, Siétamo, Siétamo,Casa o chalet,131000 ,368 ,4 ,2 ,,SI,Privado,A reformar,Gas Natural,Gas Natural,50 a 70 años,Suroeste,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
156338722,huesca, Biescas, Biescas,Casa o chalet,220000 ,160 ,3 ,2 ,,SI,Privado,A reformar,Gas Natural,Gas Natural,50 a 70 años,Suroeste,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161709164,huesca,Benasque, España,Planta baja,235000 ,79 ,3 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,50 a 70 años,Suroeste,Sí,G,G,FINCAS ANETO,SI
159097589,huesca, Canal de Berdún, Canal de Berdún,Casa o chalet,69500 ,224 ,4 ,2 ,,SI,Privado,Bien,Gas Natural,Gas Natural,50 a 70 años,Suroeste,No,G,G,INNOVA-LM,SI
154084355,huesca, Lalueza, Lalueza,Casa o chalet,120000 ,90 ,4 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,50 a 70 años,Suroeste,Sí,G,G,INNOVA-LM,SI
151911692,huesca,Graus,Graus,Casa o chalet,79500 ,160 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,50 a 70 años,Suroeste,Sí,G,G,INNOVA-LM,SI
159544106,huesca,Villanúa,Villanúa,Piso,99900 ,65 ,2 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,50 a 70 años,Suroeste,No,D,G,REDWOOD,SI
161188531,huesca, Canfranc, Canfranc,Piso,44300 ,38 ,2 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,50 a 70 años,Suroeste,No,G,G,INNOVA-LM,SI
155041216,huesca, Aisa, Aisa,Piso,125000 ,59 ,2 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,50 a 70 años,Suroeste,No,G,G,Housell,SI
161688893,huesca, Jaca, Poblaciones sur,Finca rústica,339000 ,240 ,5 ,6 ,,SI,Privado,Muy bien,Gasóleo,Gas Natural,10 a 20 años,Sur,Sí,G,G,Housell,SI
160474140,huesca,Sabiñánigo,Sabiñánigo Centro - Aurín,Piso,89680 ,90 ,3 ,6 ,,SI,Privado,Muy bien,Gasóleo,Gas Natural,30 a 50 años,Sur,Sí,G,G,DON PISO JACA,SI
160474148,huesca,Canfranc,Canfranc,Piso,105680 ,69 ,2 ,6 ,,SI,Privado,Muy bien,Gasóleo,Gas Natural,10 a 20 años,Sur,Sí,G,G,DON PISO JACA,SI
160497030,huesca,Sabiñánigo,Sabiñanigo,Piso,129680 ,73 ,2 ,2 ,,SI,Privado,Muy bien,Gasóleo,Gas Natural,10 a 20 años,Sur,Sí,G,G,DON PISO JACA,SI
160860793,huesca, Isábena, Isábena,Casa adosada,175000 ,155 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,30 a 50 años,Sur,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
157795443,huesca, Huesca Capital, Casco Antiguo,Piso,36300 ,38 ,3 ,2 ,,SI,Privado,Bien,Gasóleo,Gas Natural,30 a 50 años,Sur,Sí,E,G,SOLVIA SERVICIOS INMOBILIARIOS S.L.,SI
157208203,huesca, Sariñena, Sariñena,Casa o chalet,215000 ,360 ,4 ,3 ,,,,,,,10 a 20 años,,Sí,G,G,LANDA SERVICIOS FINANCIEROS,SI
154272469,huesca, Jaca, Astún,Piso,58320 ,23 ,4 ,3 ,,,,,,,10 a 20 años,,Sí,D,D,ALISEDA SERVICIOS DE GESTION INMOBILIARIA,SI
157123621,huesca, Sabiñánigo, Sabiñánigo Centro - Aurín,Piso,92000 ,121 ,4 ,2 ,,SI,,,,,10 a 20 años,,Sí,G,G,ALTAMIRA SANTANDER,SI
159717781,huesca,Sabiñánigo,Sabiñánigo Centro - Aurín,Piso,72100 ,57 ,4 ,2 ,,SI,,,,,10 a 20 años,,Sí,G,G,OUTLETDEVIVIENDAS,SI
160573970,huesca, Bonansa, Bonansa,Dúplex,94500 ,90 ,2 ,2 ,,SI,,Bien,,,10 a 20 años,,Sí,G,G,INNOVA-LM,SI
157117967,huesca,Binaced,Binaced,Casa adosada,115200 ,256 ,4 ,2 ,,SI,,Bien,,,10 a 20 años,,Sí,G,G,OUTLETDEVIVIENDAS,SI
161217920,huesca, Binéfar, Binéfar,Casa o chalet,400000 ,230 ,6 ,3 ,,SI,,Muy bien,,,10 a 20 años,Sur,Sí,G,G,Housell,SI
161659785,huesca, Lalueza, Lalueza,Casa o chalet,95000 ,1000  terreno,4 ,3 ,,SI,Privado,Bien,,,30 a 50 años,Sur,Sí,D,C,Particular: Anuncio Particular,SI
161654596,huesca, Binéfar, Binéfar,Piso,120000 ,132 ,4 ,2 ,,SI,Privado,Muy bien,,,20 a 30 años,Este,Sí,B,B,Particular: Bella,SI
161657817,huesca, Seira, Seira,Dúplex,154000 ,100 ,4 ,2 ,,SI,Privado,Casi nuevo,,,10 a 20 años,Suroeste,No,C,C,Particular: Nuria,SI
161502106,huesca, Graus, Graus,Casa o chalet,82000 ,300 ,5 ,2 ,,SI,Privado,Casi nuevo,,,10 a 20 años,Suroeste,Sí,G,G,INNOVA-LM,SI
158604362,huesca, Monzón, Monzón,Finca rústica,115000 ,315 ,4 ,2 ,,SI,Privado,Bien,,,10 a 20 años,Suroeste,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
157123815,huesca, Tamarite de Litera, Tamarite de Litera,Piso,67000 ,228 ,5 ,2 ,,SI,Privado,Bien,,,10 a 20 años,Suroeste,Sí,G,G,ALTAMIRA SANTANDER,SI
160869401,huesca,Jaca,Centro - Llano Samper,Piso,140400 ,84 ,2 ,2 ,,SI,Privado,Bien,,,10 a 20 años,Suroeste,Sí,G,G,OUTLETDEVIVIENDAS,SI
155813276,huesca, Tamarite de Litera, Tamarite de Litera,Casa o chalet,35000 ,136 ,3 ,2 ,,SI,Privado,Bien,,,20 a 30 años,Suroeste,Sí,G,G,CASAS Y CAMPOS,SI
160990752,huesca,Benasque, España,Apartamento,150000 ,51 ,3 ,2 ,,SI,Privado,Bien,,,20 a 30 años,Suroeste,Sí,G,G,FINCAS ANETO,SI
156408557,huesca, Tamarite de Litera, Tamarite de Litera,Casa o chalet,35000 ,130 ,4 ,2 ,,SI,Privado,Bien,,,+ 100 años,Suroeste,Sí,G,G,CASAS Y CAMPOS,SI
156774049,huesca,Azara,Azara,Casa o chalet,20000 ,114 ,3 ,2 ,,SI,Privado,Bien,,,+ 100 años,Suroeste,Sí,G,G,CASAS Y CAMPOS,SI
155813033,huesca, Barbastro, Barbastro,Piso,318000 ,200 ,5 ,3 ,,SI,Privado,Bien,,,+ 100 años,Suroeste,Sí,G,G,CASAS Y CAMPOS,SI
161420123,huesca, Villanúa, Villanúa,Dúplex,89500 ,67 ,3 ,2 ,,SI,Privado,Muy bien,,,+ 100 años,Suroeste,Sí,G,G,INNOVA-LM,SI
157515200,huesca,Grañén,Grañén,Casa o chalet,60000 ,340 ,5 ,2 ,,SI,Privado,Muy bien,,,+ 100 años,Suroeste,Sí,G,G,FINCAS OSCA,SI
160578515,huesca, Alcalá del Obispo, Alcalá del Obispo,Casa o chalet,110000 ,155 ,3 ,2 ,,SI,Privado,Bien,,Gasóleo,10 a 20 años,Suroeste,Sí,G,G,Plenia Inmobiliarios,SI
159830706,huesca, Huesca Capital,Centro Ciudad,Piso,189000 ,137 ,4 ,2 ,,SI,Privado,Bien,,Gas Natural,30 a 50 años,Sur,Sí,E,G,Plenia Inmobiliarios,SI
160977444,huesca, Huesca Capital, Pedanias,Finca rústica,125000 ,75 ,2 ,2 ,,SI,Privado,Bien,,Gas Natural,30 a 50 años,Sur,Sí,G,G,Plenia Inmobiliarios,SI
160422814,huesca,Tardienta,Tardienta,Piso,85000 ,124 ,4 ,2 ,,SI,Privado,Casi nuevo,,Electricidad,30 a 50 años,Este,Sí,G,G,Plenia Inmobiliarios,SI
160351345,huesca, Huesca Capital, Santo Domingo y San Martín,Apartamento,84000 ,45 ,4 ,2 ,,SI,Privado,Casi nuevo,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,Plenia Inmobiliarios,SI
160588534,huesca, Huesca Capital, San Lorenzo,Piso,150000 ,182 ,5 ,2 ,,SI,Privado,A reformar,Gas Natural,Gas Natural,+ 100 años,Suroeste,Sí,G,G,Plenia Inmobiliarios,SI
159395293,huesca,Castejón de Sos, España,Apartamento,115000 ,45 ,2 ,2 ,,SI,Privado,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,E,G,FINCAS ANETO,SI
160821035,huesca, Huesca Capital,Sallent de Gallego,Ático,150000 ,55 ,2 ,2 ,,SI,Comunitario,Muy bien,Gas Natural,Gas Natural,10 a 20 años,Suroeste,Sí,G,G,GESTION INMOBILIARIA GETXO XXI,SI
161405049,huesca, El Grado, El Grado,Finca rústica,205000 ,376 ,5 ,3 ,,SI,Comunitario,Muy bien,Electricidad,Electricidad,+ 100 años,Suroeste,Sí,G,G,FRANCO MOLINA,SI
157833532,huesca, Lascuarre, Lascuarre,Finca rústica,329600 ,380 ,6 ,6 ,,,,,,,10 a 20 años,,,G,G,SIP LLEIDA,SI
160400279,huesca, Montanuy, Montanuy,Finca rústica,155400 ,360 ,6 ,6 ,,,,Bien,,,10 a 20 años,,,G,G,INNOVA-LM,SI
158635065,huesca, Villanúa, Villanúa,Apartamento,98000 ,50 ,6 ,6 ,,SI,Privado,Muy bien,,,10 a 20 años,,Sí,G,G,INNOVA-LM,SI
160188700,huesca, Jaca, Poblaciones norte,Finca rústica,119500 ,1300 ,6 ,6 ,,SI,Privado,Muy bien,,,10 a 20 años,Sureste,Sí,G,G,INNOVA-LM,SI
141787234,huesca,Graus,Graus,Casa o chalet,50000 ,280 ,6 ,2 ,,SI,Privado,Casi nuevo,,,10 a 20 años,Sureste,Sí,G,G,INNOVA-LM,SI
158877598,huesca, Sariñena, Sariñena,Casa o chalet,12000 ,186 ,3 ,2 ,,SI,Privado,A reformar,,,70 a 100 años,Sureste,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
161214538,huesca,Castejón de Sos, España,Apartamento,120000 ,57 ,2 ,2 ,,SI,Privado,A reformar,,,70 a 100 años,Sureste,Sí,G,G,FINCAS ANETO,SI
160620567,huesca, Bonansa, Bonansa,Casa o chalet,124500 ,330 ,5 ,2 ,,SI,Privado,Bien,,,70 a 100 años,Sureste,Sí,G,G,INNOVA-LM,SI
160509010,huesca, Sabiñánigo, Sardas - Puente de Sabiñánigo,Apartamento,38800 ,35 ,5 ,2 ,,SI,Privado,Bien,,,70 a 100 años,Sureste,No,G,G,INNOVA-LM,SI
159657813,huesca, Alcampell, Alcampell,Casa o chalet,45000 ,196 ,4 ,2 ,,SI,Privado,Bien,,Butano,70 a 100 años,Sureste,No,G,G,ALTABAS GESTION INMOBILIARIA,SI
158883334,huesca, Sariñena, Sariñena,Casa o chalet,31000 ,50 ,2 ,2 ,,SI,Privado,Muy bien,,Butano,+ 100 años,Sureste,Sí,G,G,FINCAS RUIZ ZARAGOZA,SI
146982817,huesca,Isábena,Isábena,Finca rústica,40000 ,130 ,2 ,2 ,,SI,Privado,Muy bien,,Butano,+ 100 años,Sureste,No,G,G,INNOVA-LM,SI
160422477,huesca, Jaca, Centro - Llano Samper,Piso,138600 ,58 ,2 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,No,G,G,FINCAS ARTAL,SI
156131238,huesca, Sabiñánigo, Sardas - Puente de Sabiñánigo,Piso,50000 ,69 ,3 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,No,G,G,ALTAMIRA SANTANDER,SI
161039397,huesca, Huesca Capital,San José,Piso,132500 ,90 ,4 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,No,G,G,Hola Pisos,SI
160859888,huesca,Jaca,Centro - Llano Samper,Piso,105800 ,87 ,3 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,No,G,G,OUTLETDEVIVIENDAS,SI
161639325,huesca, Castelflorite, Castelflorite,Casa o chalet,85000 ,540 ,5 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,Sí,G,G,SUVIVIENDA,SI
157320744,huesca, Ayerbe, Ayerbe,Finca rústica,99000 ,190 ,3 ,2 ,,SI,Privado,Muy bien,,Butano,30 a 50 años,Sureste,Sí,G,G,Housell,SI
153569820,huesca,Castejón de Sos,El Run,Piso,84000 ,65 ,3 ,2 ,,SI,Privado,Casi nuevo,Electricidad,Butano,30 a 50 años,Sureste,Sí,G,G,INNOVA-LM,SI
160037214,huesca, Villanúa, Villanúa,Loft,50000 ,23 ,3 ,2 ,,SI,Privado,Muy bien,Electricidad,Butano,30 a 50 años,Norte,Sí,G,G,Housell,SI
153361759,huesca, Aisa, Aisa,Piso,79990 ,40 ,2 ,2 ,,SI,Privado,Muy bien,Electricidad,Butano,20 a 30 años,Norte,Sí,G,G,CIDENAR,SI
